-125,-125,3.32
-120,-125,27.93
-115,-125,50.80
-110,-125,70.52
-105,-125,85.85
-100,-125,95.84
-95,-125,99.87
-90,-125,97.70
-85,-125,89.45
-80,-125,75.64
-75,-125,57.12
-70,-125,35.06
-65,-125,10.81
-60,-125,-14.10
-55,-125,-38.15
-50,-125,-59.81
-45,-125,-77.76
-40,-125,-90.88
-35,-125,-98.34
-30,-125,-99.69
-25,-125,-94.85
-20,-125,-84.10
-15,-125,-68.13
-10,-125,-47.92
-5,-125,-24.73
0,-125,0.00
5,-125,24.73
10,-125,47.92
15,-125,68.13
20,-125,84.10
25,-125,94.85
30,-125,99.69
35,-125,98.34
40,-125,90.88
45,-125,77.76
50,-125,59.81
55,-125,38.15
60,-125,14.10
65,-125,-10.81
70,-125,-35.06
75,-125,-57.12
80,-125,-75.64
85,-125,-89.45
90,-125,-97.70
95,-125,-99.87
100,-125,-95.84
105,-125,-85.85
110,-125,-70.52
115,-125,-50.80
120,-125,-27.93
-125,-120,3.19
-120,-120,26.83
-115,-120,48.80
-110,-120,67.74
-105,-120,82.47
-100,-120,92.07
-95,-120,95.95
-90,-120,93.86
-85,-120,85.93
-80,-120,72.67
-75,-120,54.88
-70,-120,33.68
-65,-120,10.39
-60,-120,-13.55
-55,-120,-36.65
-50,-120,-57.46
-45,-120,-74.71
-40,-120,-87.31
-35,-120,-94.48
-30,-120,-95.78
-25,-120,-91.12
-20,-120,-80.80
-15,-120,-65.45
-10,-120,-46.03
-5,-120,-23.75
0,-120,0.00
5,-120,23.75
10,-120,46.03
15,-120,65.45
20,-120,80.80
25,-120,91.12
30,-120,95.78
35,-120,94.48
40,-120,87.31
45,-120,74.71
50,-120,57.46
55,-120,36.65
60,-120,13.55
65,-120,-10.39
70,-120,-33.68
75,-120,-54.88
80,-120,-72.67
85,-120,-85.93
90,-120,-93.86
95,-120,-95.95
100,-120,-92.07
105,-120,-82.47
110,-120,-67.74
115,-120,-48.80
120,-120,-26.83
-125,-115,2.86
-120,-115,24.06
-115,-115,43.77
-110,-115,60.76
-105,-115,73.97
-100,-115,82.58
-95,-115,86.06
-90,-115,84.18
-85,-115,77.08
-80,-115,65.18
-75,-115,49.22
-70,-115,30.21
-65,-115,9.32
-60,-115,-12.15
-55,-115,-32.87
-50,-115,-51.54
-45,-115,-67.01
-40,-115,-78.31
-35,-115,-84.74
-30,-115,-85.90
-25,-115,-81.73
-20,-115,-72.47
-15,-115,-58.70
-10,-115,-41.29
-5,-115,-21.31
0,-115,0.00
5,-115,21.31
10,-115,41.29
15,-115,58.70
20,-115,72.47
25,-115,81.73
30,-115,85.90
35,-115,84.74
40,-115,78.31
45,-115,67.01
50,-115,51.54
55,-115,32.87
60,-115,12.15
65,-115,-9.32
70,-115,-30.21
75,-115,-49.22
80,-115,-65.18
85,-115,-77.08
90,-115,-84.18
95,-115,-86.06
100,-115,-82.58
105,-115,-73.97
110,-115,-60.76
115,-115,-43.77
120,-115,-24.06
-125,-110,2.35
-120,-110,19.80
-115,-110,36.02
-110,-110,50.00
-105,-110,60.87
-100,-110,67.96
-95,-110,70.82
-90,-110,69.27
-85,-110,63.43
-80,-110,53.63
-75,-110,40.50
-70,-110,24.86
-65,-110,7.67
-60,-110,-10.00
-55,-110,-27.05
-50,-110,-42.41
-45,-110,-55.14
-40,-110,-64.44
-35,-110,-69.73
-30,-110,-70.69
-25,-110,-67.25
-20,-110,-59.63
-15,-110,-48.31
